"No.","Time","Source","Destination","Protocol","Length","Info"
"81","0.394515589","34.160.122.198","10.0.2.15","TCP","60","443  >  54518 [ACK] Seq=3175 Ack=715 Win=65535 Len=0"
"82","0.395061659","10.0.2.15","34.160.122.198","TLSv1.3","146","Application Data"
"83","0.395130939","10.0.2.15","34.160.122.198","TLSv1.3","311","Application Data"
"84","0.395297459","34.160.122.198","10.0.2.15","TCP","60","443  >  54518 [ACK] Seq=3175 Ack=807 Win=65535 Len=0"
"85","0.395297659","34.160.122.198","10.0.2.15","TCP","60","443  >  54518 [ACK] Seq=3175 Ack=1064 Win=65535 Len=0"
"86","0.407092941","34.160.122.198","10.0.2.15","TLSv1.3","116","Application Data"
"87","0.407313161","10.0.2.15","34.160.122.198","TLSv1.3","85","Application Data"
"88","0.407970001","34.160.122.198","10.0.2.15","TCP","60","443  >  54518 [ACK] Seq=3237 Ack=1095 Win=65535 Len=0"
"89","0.408631920","34.160.122.198","10.0.2.15","TLSv1.3","85","Application Data"
"90","0.409999589","34.160.122.198","10.0.2.15","TLSv1.3","699","Application Data"
"91","0.409999849","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"92","0.410319479","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"93","0.416143926","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"94","0.416144186","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"95","0.416144295","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"96","0.416731694","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=10973 Win=57892 Len=0"
"97","0.417058385","34.160.122.198","10.0.2.15","TLSv1.3","10274","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"98","0.418879563","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=21193 Win=52560 Len=0"
"99","0.420953171","34.160.122.198","10.0.2.15","TLSv1.3","6778","Application Data, Application Data, Application Data, Application Data, Application Data"
"100","0.422806382","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"101","0.422806571","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"102","0.423246811","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"103","0.423852179","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=32153 Win=45184 Len=0"
"104","0.424460920","34.160.122.198","10.0.2.15","TLSv1.3","7114","Application Data, Application Data, Application Data, Application Data, Application Data"
"105","0.424471580","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=39213 Win=51100 Len=0"
"106","0.424995808","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"107","0.424996018","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
"108","0.425016579","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1095 Ack=42037 Win=49420 Len=0"
"109","0.425321568","34.160.122.198","10.0.2.15","TLSv1.3","1466","Application Data"
